"","X","marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_date","word","sentiment"
"2",2,"US",22873041,"R3ARRMDEGED8RD","B00KJWQIIC",335625766,"Plemo 14-Inch Laptop Sleeve Case Waterproof Fabric Bag for MacBook Air / Laptops / Notebook, Gray","PC",5,0,0,"N","Y","Pleasantly surprised","2015-08-31","padding","positive"
"4",4,"US",22873041,"R3ARRMDEGED8RD","B00KJWQIIC",335625766,"Plemo 14-Inch Laptop Sleeve Case Waterproof Fabric Bag for MacBook Air / Laptops / Notebook, Gray","PC",5,0,0,"N","Y","Pleasantly surprised","2015-08-31","amazingly","positive"
"8",8,"US",22873041,"R3ARRMDEGED8RD","B00KJWQIIC",335625766,"Plemo 14-Inch Laptop Sleeve Case Waterproof Fabric Bag for MacBook Air / Laptops / Notebook, Gray","PC",5,0,0,"N","Y","Pleasantly surprised","2015-08-31","happy","positive"
"13",13,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","pretty","positive"
"15",15,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","nonsense","negative"
"17",17,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","beauty","positive"
"21",21,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","deal","positive"
"26",26,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","love","positive"
"27",27,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","main","positive"
"30",30,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","pretty","positive"
"34",34,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","wireless","positive"
"39",39,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","share","positive"
"44",44,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","bonus","positive"
"49",49,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","default","negative"
"55",55,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","including","positive"
"56",56,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","handy","positive"
"58",58,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","friend","positive"
"61",61,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","leave","negative"
"65",65,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","found","positive"
"68",68,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","status","positive"
"71",71,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","pretty","positive"
"74",74,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","top","positive"
"76",76,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","cool","positive"
"78",78,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","including","positive"
"79",79,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","handy","positive"
"81",81,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","friend","positive"
"84",84,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","leave","negative"
"88",88,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","found","positive"
"91",91,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","status","positive"
"94",94,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","pretty","positive"
"97",97,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","top","positive"
"99",99,"US",30088427,"RQ28TSA020Y6J","B013ALA9LA",671157305,"TP-Link OnHub AC1900 Wireless Wi-Fi Router","PC",5,24,31,"N","N","OnHub is a pretty no nonsense type router that just works","2015-08-31","cool","positive"
"100",100,"US",20329786,"RUXJRZCT6953M","B00PML2GQ8",982036237,"AmazonBasics USB 3.0 A Male to A Male Cable - 3.3 Feet 1 Meter","PC",1,2,2,"N","N","None of them worked.  No functionality at all.","2015-08-31","leave","negative"
"104",104,"US",20329786,"RUXJRZCT6953M","B00PML2GQ8",982036237,"AmazonBasics USB 3.0 A Male to A Male Cable - 3.3 Feet 1 Meter","PC",1,2,2,"N","N","None of them worked.  No functionality at all.","2015-08-31","waste","negative"
"108",108,"US",20329786,"RUXJRZCT6953M","B00PML2GQ8",982036237,"AmazonBasics USB 3.0 A Male to A Male Cable - 3.3 Feet 1 Meter","PC",1,2,2,"N","N","None of them worked.  No functionality at all.","2015-08-31","money","positive"
"112",112,"US",14215710,"R7EO0UO6BPB71","B001NS0OZ4",576587596,"Transcend P8 15-in-1 USB 2.0 Flash Memory Card Reader TS-RDP8K","PC",1,0,0,"N","Y","just keep searching.","2015-08-31","cheap","negative"
"114",114,"US",38264512,"R39NJY2YJ1JFSV","B00AQMTND2",964759214,"Aleratec SATA Data Cable 2.0 20in Serial ATA Straight Connector 6-Pack Combo","PC",5,0,0,"N","Y","Five Stars","2015-08-31","excellent","positive"
"116",116,"US",38264512,"R39NJY2YJ1JFSV","B00AQMTND2",964759214,"Aleratec SATA Data Cable 2.0 20in Serial ATA Straight Connector 6-Pack Combo","PC",5,0,0,"N","Y","Five Stars","2015-08-31","job","positive"
"118",118,"US",589298,"RVBP8I1R0CTZ8","B00P17WEMY",206124740,"White 9 Inch Unlocked Dual Sim Card Phone Tablet 9 Inch 1024*600 3g Phone Call Tablet Pc Android 4.2 512mb/4gb Mtk6572 Dual Coredual Cameras Wifi Bluetooth GPS","PC",3,1,2,"N","Y","in fact this is third China good. Demn s***","2015-08-31","real","positive"
"122",122,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","detect","positive"
"124",124,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","center","positive"
"128",128,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","pay","positive"
"132",132,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","spent","negative"
"133",133,"US",50728290,"R23AICGEDAJQL1","B0098Y77OG",177098042,"Acer","PC",1,0,0,"N","Y","You get what you pay for","2015-08-31","extra","positive"
